,movie,chapter,character,dialog,movie_number
0,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,I should have known that you would be here...Professor McGonagall.,1
1,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",1
2,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"I'm afraid so, Professor. The good, and the bad.",1
3,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,And the boy?,1
4,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Hagrid is bringing him.,1
5,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?,1
6,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life.",1
7,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Rubeus Hagrid,"Professor Dumbledore, Sir. Professor McGonagall.",1
8,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"No problems, I trust, Hagrid?",1
9,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Rubeus Hagrid,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",1
10,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",1
11,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,The only family he has.,1
12,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.,1
13,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Exactly. He's better off growing up away from all that. Until he is ready.,1
14,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"There, there, Hagrid. It's not really goodbye, after all.",1
15,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Good luck...Harry Potter.,1
16,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,Up. Get up.  Now!,1
17,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Wake up, cousin! We're going to the zoo!",1
18,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Oh, here he comes, the birthday boy!",1
19,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Happy birthday, son.",1
20,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Why don't you just cook the breakfast, and try not to burn anything.",1
21,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Yes, Aunt Petunia.",1
22,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,I want everything to be perfect for my Dudley's special day.,1
23,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Hurry up! Bring my coffee, boy!",1
24,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Yes, Uncle Vernon.",1
25,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Aren’t they wonderful, darling?",1
26,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,How many are there?,1
27,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,Thirty-six. Counted 'em myself.,1
28,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Thirty-six?! But last year last year I had thirty-seven!!,1
